iid,id,idg,partner,pid,wave,round,position,positin1,order,condtn,undergrd,zipcode,career,from,field,gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr,sinc,intel,fun,amb,shar,like,prob,met,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec,dec_o,int_corr,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
1,3,224,249,66,2,11,7,5,3,2,NYU,12611,Law,FL,Law,0,30,35,6,4,0,6,5,1,6,5,2,47584,1489,12043,8,1,55,92,68,58,13,40,1,2,7,10,9,3,7,6,5,1,5,5,5,2,3,2,10,5,6,4,2,2,0,0,-0.3938137879442849,1,2,5,10,1,2,5,8,3,2,3,6,2,9,9,3,7,0
2,191,46,166,146,19,10,12,19,10,2,NYU,15038,Medicine,TX,Law,1,37,33,1,1,1,10,2,4,4,5,16,119062,1079,36895,8,5,8,63,4,66,32,80,4,7,2,5,4,1,2,1,4,3,3,4,4,1,3,5,2,5,1,1,5,1,0,0,0.8889650563818743,7,7,8,3,1,2,7,3,4,9,7,6,9,7,2,9,10,0
3,401,224,215,16,21,2,6,19,9,1,NYU,12591,Arts,CA,Science,0,26,44,1,4,0,6,3,5,4,10,1,67624,827,47393,6,2,61,32,21,11,72,23,10,1,3,1,9,2,2,10,3,7,4,6,2,1,5,3,7,5,2,7,3,3,0,0,0.6669831283510488,3,3,6,9,9,3,7,9,9,6,6,8,10,8,7,7,8,0
4,201,172,393,458,10,11,17,3,7,2,Columbia,10788,Science,FL,Law,0,24,35,6,1,0,4,4,3,7,6,13,119855,1567,33711,7,4,87,38,12,84,3,8,1,3,8,5,3,1,2,6,4,7,5,5,4,1,3,5,6,2,6,2,3,4,0,0,-0.2444616115730247,3,3,5,6,10,1,3,2,2,9,1,8,7,2,3,1,8,0
5,411,259,230,431,17,1,13,6,7,1,Columbia,15596,Arts,NY,Other,0,21,25,3,2,0,5,2,6,5,9,9,94564,1399,56033,2,3,93,38,28,46,72,23,2,9,8,2,10,8,9,7,7,9,6,7,9,1,8,8,7,6,9,7,6,9,1,1,0.10219101995417335,10,4,8,10,5,9,1,7,7,9,8,6,9,3,7,3,8,1
6,382,55,283,46,4,6,1,3,5,1,Other,10793,Business,FL,Law,1,36,27,2,1,0,6,3,2,5,5,7,29739,1585,19430,1,1,13,9,100,56,71,50,5,6,4,2,10,6,10,10,7,8,9,9,9,1,6,9,10,8,8,8,10,10,1,1,0.309393276457115,2,10,9,1,3,2,4,2,2,5,8,10,5,8,4,3,9,1
7,6,291,360,449,15,10,17,4,8,2,Columbia,17524,Medicine,FL,Other,0,39,43,1,5,0,10,3,4,1,16,6,100858,1228,57894,10,1,17,50,39,99,20,9,5,4,3,1,5,7,2,10,2,3,5,5,3,1,1,5,2,3,3,5,2,1,0,0,-0.7865771035905169,5,8,9,8,3,3,3,6,1,7,4,1,6,5,1,8,3,0
8,238,210,31,462,15,3,13,7,5,2,Columbia,15879,Arts,CA,Arts,0,36,27,4,5,0,4,6,2,7,1,11,132104,1063,46952,8,8,35,29,31,5,27,79,10,6,7,6,5,3,1,2,1,5,3,6,3,1,2,1,4,2,6,5,3,3,0,0,0.17910602054363833,2,7,3,4,3,6,2,8,8,9,3,7,1,4,1,6,2,0
9,174,159,307,327,11,6,8,3,4,1,NYU,12910,Business,CA,Other,0,23,22,5,3,0,4,4,1,2,2,3,54608,1132,21264,8,1,74,80,38,81,3,26,1,4,6,8,8,3,6,7,1,1,4,6,5,2,1,4,5,1,1,6,2,3,0,1,0.6043142979086669,9,6,3,10,1,3,1,5,6,10,4,2,7,2,1,9,7,0
10,128,230,88,164,16,1,16,2,3,1,Columbia,17307,Arts,FL,Business,1,44,27,3,1,0,3,1,7,1,6,5,141415,835,28013,9,9,46,0,46,24,97,58,5,8,8,8,5,7,4,10,5,2,7,6,5,2,3,1,6,6,5,1,2,3,1,0,0.3597032304101797,5,7,2,10,6,5,2,4,1,8,3,3,6,3,10,7,6,0
11,223,119,137,341,4,14,19,5,13,2,NYU,13442,Arts,FL,Other,0,30,35,3,1,0,1,4,2,2,9,15,37789,1286,43542,3,4,79,1,90,38,95,31,7,1,10,5,5,7,2,3,5,6,5,5,1,2,1,4,3,3,5,5,2,4,0,0,0.07049729843660923,3,6,1,1,8,6,5,3,3,9,8,3,4,2,6,9,6,0
12,231,50,290,299,10,5,7,13,10,1,Columbia,15277,Law,TX,Medicine,0,28,38,4,4,1,1,1,1,6,12,2,43503,1139,10185,8,8,64,79,80,56,35,97,10,6,4,8,5,7,3,2,1,7,6,2,2,2,5,3,6,4,1,5,5,3,0,0,0.3182903296440194,5,4,3,9,8,5,2,3,2,1,5,1,5,1,3,5,6,0
13,266,122,481,258,11,5,10,18,7,2,Other,18926,Science,TX,Other,0,30,41,4,1,0,4,2,6,6,10,12,96858,1591,20694,3,7,13,38,88,52,44,14,9,3,1,9,2,6,10,10,8,8,10,7,10,1,7,9,9,8,8,10,7,10,1,1,-0.9810274913890733,3,1,8,9,8,10,1,9,4,2,3,5,6,4,1,7,6,1
