gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
0,30,35,6,4,0,6,5,1,6,5,2,47584.0,1489,12502.4,8,1,55,92,68,58,13,40,1,2,7,10,9,1,2,5,10,1,2,5,8,3,2,3,6,2,9,9,3,7,0
1,37,33,1,1,1,10,2,4,4,5,16,119062.0,1079,36895.0,8,5,8,63,4,66,32,80,4,7,2,5,4,7,7,8,3,1,2,7,3,4,9,7,6,9,7,2,9,10,0
0,26,43,1,4,0,6,3,5,4,10,1,67624.0,837,47393.0,6,2,61,32,21,11,72,23,10,1,3,1,9,3,3,6,9,9,3,7,9,9,6,6,8,10,8,7,7,8,0
0,24,35,6,1,0,4,4,3,7,6,13,119855.0,1559,33711.0,7,4,87,38,12,84,5,8,1,3,8,5,3,3,3,5,6,10,1,3,2,2,9,1,8,7,2,3,1,8,0
0,21,25,3,2,0,5,2,6,5,9,9,94564.0,1399,56033.0,2,3,93,38,28,46,72,23,2,9,8,2,10,10,4,8,10,5,9,1,7,7,9,8,6,9,3,7,3,8,1
1,36,27,2,1,0,6,3,2,5,5,7,29739.0,1559,19430.0,1,1,13,9,96,56,71,50,5,6,4,2,10,2,10,9,1,3,2,4,2,2,5,8,10,5,8,4,3,9,1
0,39,43,1,5,0,10,3,4,1,16,6,100858.0,1228,57566.3,10,1,17,50,39,96,20,9,5,4,3,1,5,5,8,9,8,3,3,3,6,1,7,4,1,6,5,1,8,3,0
0,36,27,4,5,0,4,6,2,7,1,11,132104.0,1063,46952.0,8,8,35,29,31,5,27,79,10,6,7,6,5,2,7,3,4,3,6,2,8,8,9,3,7,1,4,1,6,2,0
0,23,22,5,3,0,4,4,1,2,2,3,54608.0,1132,21264.0,8,1,74,80,38,81,5,26,1,4,6,8,8,9,6,3,10,1,3,1,5,6,10,4,2,7,2,1,9,7,0
1,43,27,3,1,0,3,1,7,1,6,5,141415.0,837,28013.0,9,9,46,4,46,24,95,58,5,8,8,8,5,5,7,2,10,6,5,2,4,1,8,3,3,6,3,10,7,6,0
0,30,35,3,1,0,1,4,2,2,9,15,37789.0,1286,43542.0,3,4,79,4,90,38,95,31,7,1,10,5,5,3,6,1,1,8,6,5,3,3,9,8,3,4,2,6,9,6,0
0,28,38,4,4,1,1,1,1,6,12,2,43503.0,1139,12502.4,8,8,64,79,80,56,35,96,10,6,4,8,5,5,4,3,9,8,5,2,3,2,1,5,1,5,1,3,5,6,0
0,30,41,4,1,0,4,2,6,6,10,12,96858.0,1559,20694.0,3,7,13,38,88,52,44,14,9,3,1,9,2,3,1,8,9,8,10,1,9,4,2,3,5,6,4,1,7,6,1
0,30,23,6,3,0,1,1,1,6,10,13,110812.0,853,33003.0,8,6,68,13,19,18,72,10,10,6,5,8,3,2,9,8,10,6,1,8,4,5,10,1,5,10,1,10,3,2,0
1,42,20,4,6,0,10,2,4,1,2,3,39401.0,856,57566.3,7,1,4,17,21,71,78,29,8,6,3,2,8,5,5,1,9,8,6,8,10,3,8,9,4,5,6,7,3,9,0
0,39,25,4,3,0,6,2,1,4,2,1,88817.0,1099,43595.0,9,5,86,18,31,30,82,63,1,9,3,4,8,7,4,9,6,2,9,5,3,7,7,2,10,7,10,10,2,10,0
1,37,26,1,2,0,5,1,6,6,2,6,31599.0,1502,52630.0,2,1,59,61,96,70,62,27,6,9,8,1,2,1,1,1,4,4,6,1,5,3,3,2,6,6,6,4,9,9,1
1,32,22,6,3,0,1,5,5,1,11,1,75949.0,1005,32348.0,9,4,40,56,30,28,70,64,3,9,7,3,7,3,7,8,9,2,8,9,7,10,4,1,9,9,9,8,4,7,0
1,38,19,6,5,0,7,6,5,5,5,6,84873.0,1400,50546.0,8,3,96,17,65,96,34,63,7,7,10,9,10,4,9,6,3,3,4,1,6,6,7,7,7,10,5,1,3,7,0
0,30,19,5,3,0,6,6,4,7,15,1,113907.0,911,46722.0,6,1,60,18,89,67,69,75,7,2,7,7,10,2,8,5,7,10,6,6,9,3,10,4,1,8,2,6,7,9,0
1,39,24,6,4,0,4,2,5,5,4,16,127845.0,920,40129.0,5,3,74,28,94,18,84,80,6,2,8,10,4,10,5,6,7,1,4,6,4,4,1,3,2,9,7,3,10,4,0
0,28,34,4,2,0,3,3,1,4,7,11,143471.34999999998,1098,19320.0,7,7,79,90,76,96,49,83,2,4,4,4,9,10,2,9,7,1,7,9,4,4,7,5,3,8,7,8,8,4,0
1,36,27,3,1,0,4,4,4,5,3,10,33301.0,1442,30455.0,5,2,54,18,28,69,95,33,4,4,2,5,8,1,5,7,10,7,7,9,7,10,8,3,1,2,4,4,7,5,1
