,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
iid,8378.0,4189.5,2418.6646108958553,1.0,2095.25,4189.5,6283.75,8378.0,0,0.0
id,8378.0,249.88314633564096,144.38820338539006,1.0,126.0,248.0,377.0,499.0,0,0.0
idg,8378.0,149.73597517307232,86.4113274374382,1.0,74.0,151.0,225.0,299.0,0,0.0
partner,8378.0,248.89842444497492,143.73419893193503,1.0,125.0,248.0,375.0,499.0,0,0.0
pid,8378.0,249.66567199809023,144.8015888207616,1.0,124.0,248.0,376.0,499.0,0,0.0
wave,8378.0,11.054189544043924,6.079704159551017,1.0,6.0,11.0,16.0,21.0,0,0.0
round,8378.0,7.4680114585820006,4.015071389850531,1.0,4.0,7.0,11.0,14.0,0,0.0
position,8378.0,10.099904511816662,5.485342226251364,1.0,5.0,10.0,15.0,19.0,0,0.0
positin1,8378.0,9.901289090475053,5.469454241304399,1.0,5.0,10.0,15.0,19.0,0,0.0
order,8378.0,7.484244449749344,4.035334270820103,1.0,4.0,8.0,11.0,14.0,0,0.0
condtn,8378.0,1.504655048937694,0.5000081714852657,1.0,1.0,2.0,2.0,2.0,0,0.0
zipcode,8378.0,14977.457507758414,2884.679669922274,10000.0,12428.0,15036.0,17448.75,19999.0,0,0.0
gender,8378.0,0.49892575793745525,0.5000286886626282,0.0,0.0,0.0,1.0,1.0,0,0.0
age,8378.0,31.184292193841014,7.779179418704798,18.0,24.0,31.0,38.0,44.0,0,0.0
age_o,8378.0,31.119121508713295,7.742661188774023,18.0,24.0,31.0,38.0,44.0,0,0.0
race,8378.0,3.53055621866794,1.700601948355917,1.0,2.0,4.0,5.0,6.0,0,0.0
race_o,8378.0,3.4696825017904036,1.698780164543357,1.0,2.0,3.0,5.0,6.0,0,0.0
samerace,8378.0,0.16507519694437814,0.37127056054913293,0.0,0.0,0.0,0.0,1.0,0,0.0
imprace,8378.0,5.505013129625209,2.8719912023650815,1.0,3.0,5.0,8.0,10.0,0,0.0
goal,8378.0,3.490928622582955,1.7183089710136126,1.0,2.0,3.0,5.0,6.0,0,0.0
date,8378.0,3.991047982812127,2.014343000724695,1.0,2.0,4.0,6.0,7.0,0,0.0
go_out,8378.0,4.007400334208642,1.9698558327512017,1.0,2.0,4.0,6.0,7.0,0,0.0
field_cd,8378.0,9.545356887085223,5.170799644213203,1.0,5.0,10.0,14.0,18.0,0,0.0
career_c,8378.0,8.986870374791119,4.894817695270458,1.0,5.0,9.0,13.0,17.0,0,0.0
income,8378.0,83836.40188589162,37512.214166267826,20015.0,51082.75,82916.0,116261.0,149994.0,0,0.0
mn_sat,8378.0,1197.4111959894963,231.54439432920995,800.0,997.0,1197.0,1399.0,1599.0,0,0.0
tuition,8378.0,34891.86476486035,14442.6780567556,10010.0,22631.75,34676.5,47270.5,59987.0,0,0.0
exphappy,8378.0,5.5007161613750295,2.8643789953724985,1.0,3.0,6.0,8.0,10.0,0,0.0
expnum,8378.0,4.965862974456911,2.5835042226335005,1.0,3.0,5.0,7.0,9.0,0,0.0
