,zipcode,gender,age,age_o,race,race_o,samerace,imprace,goal,date,go_out,field_cd,career_c,income,mn_sat,tuition,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr,sinc,intel,fun,amb,shar,like,prob,met,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec,dec_o,int_corr,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,match
zipcode,1.0,-0.0,0.02,0.0,0.02,0.02,0.02,-0.0,0.02,0.0,0.0,-0.0,0.0,-0.01,0.01,-0.01,-0.01,0.01,0.0,0.02,0.01,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.0,0.01,-0.01,-0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.01,-0.0,0.01,0.0,-0.01,0.01,-0.0,0.0,-0.0,0.02,-0.01,0.01,0.0,-0.0,-0.0,-0.0,0.01,-0.02,0.01,-0.0,0.0,-0.01,0.02,0.01,0.01,0.0,0.0,-0.01,0.0
gender,-0.0,1.0,0.01,0.01,-0.01,-0.0,-0.01,0.0,-0.01,0.01,-0.0,0.01,0.0,-0.0,-0.01,0.01,0.01,0.0,0.01,-0.01,0.0,-0.01,0.01,-0.01,0.01,0.0,0.01,-0.01,-0.0,0.0,-0.02,-0.01,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.01,0.0,0.01,-0.01,0.02,0.02,-0.02,0.0,0.01,-0.01,0.01,0.01,0.01,0.01,0.0,-0.0,0.02,0.0,0.01,-0.02,0.02,-0.02,-0.0
age,0.02,0.01,1.0,-0.01,0.01,-0.01,-0.02,0.01,0.01,-0.0,0.01,0.01,0.0,-0.01,0.01,-0.0,0.0,0.01,0.0,-0.02,0.0,0.0,-0.01,-0.0,0.02,-0.02,0.01,-0.01,-0.01,-0.01,-0.01,0.02,0.01,0.02,-0.0,0.01,0.01,-0.02,0.02,0.02,0.0,0.02,0.01,0.02,0.0,0.0,-0.0,0.01,-0.02,0.02,0.0,0.01,0.0,-0.0,0.01,-0.0,0.01,0.01,-0.0,0.01,-0.01,0.0,-0.0,-0.01,-0.02,-0.02,0.01
age_o,0.0,0.01,-0.01,1.0,-0.02,-0.02,0.0,0.01,0.02,-0.0,0.0,0.01,-0.01,0.02,-0.0,0.03,-0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.0,-0.0,-0.0,-0.02,0.0,0.01,-0.01,-0.02,0.01,-0.01,-0.01,-0.0,-0.01,0.01,0.0,0.01,-0.01,0.01,0.0,-0.02,-0.0,-0.01,-0.0,-0.01,-0.0,0.02,0.01,-0.01,0.01,-0.0,0.02,-0.02,0.0,0.0,0.02,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,0.0,-0.0
race,0.02,-0.01,0.01,-0.02,1.0,-0.01,-0.02,-0.02,-0.0,-0.02,0.0,-0.01,-0.01,-0.03,-0.01,-0.01,-0.0,0.01,0.02,-0.0,0.02,-0.01,-0.02,-0.0,0.0,-0.02,0.03,-0.01,-0.01,0.0,0.0,0.01,0.01,-0.0,-0.01,-0.01,-0.01,0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,0.01,-0.0,-0.02,-0.0,-0.01,-0.0,0.01,0.0,-0.01,0.02,-0.02,0.02,-0.0,-0.0,-0.01,0.01,-0.01,-0.01,-0.0,0.0,-0.01
race_o,0.02,-0.0,-0.01,-0.02,-0.01,1.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,0.01,-0.0,-0.0,0.01,0.01,-0.01,0.0,-0.01,0.0,-0.02,0.02,-0.02,-0.01,-0.01,-0.02,0.0,-0.01,0.01,0.0,-0.01,0.0,-0.01,-0.01,-0.01,-0.02,-0.01,0.0,-0.01,-0.01,-0.03,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,0.01,0.01,0.0,0.01,-0.0,-0.01,0.01,0.0,0.01,-0.01,0.02,0.0,-0.02,0.0,-0.02,0.0,0.01,-0.01
samerace,0.02,-0.01,-0.02,0.0,-0.02,0.0,1.0,-0.0,-0.0,0.02,-0.02,0.01,-0.01,0.02,0.0,-0.01,-0.02,-0.02,-0.02,0.02,0.01,-0.0,-0.02,0.01,0.01,0.02,-0.01,0.01,-0.01,0.0,0.0,-0.0,0.01,0.01,0.0,0.01,-0.0,0.0,0.01,-0.01,-0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.0,-0.03,0.0,0.0,0.0,-0.01,-0.01,0.01,0.01,0.01,-0.01,0.01,-0.01,0.01,-0.03,-0.02,0.01,0.02,0.01
imprace,-0.0,0.0,0.01,0.01,-0.02,0.0,-0.0,1.0,0.0,-0.01,0.01,0.01,0.0,-0.01,0.02,0.01,-0.01,-0.02,0.01,0.0,0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,0.0,0.01,0.02,0.0,0.01,0.0,-0.01,0.0,0.02,-0.01,0.01,-0.0,0.03,0.01,0.01,0.0,0.01,0.01,0.01,-0.01,0.0,0.01,-0.02,0.02,-0.0,0.01,-0.01,0.01,0.01,0.01,-0.01,0.01,0.01,-0.0,0.0,0.01
goal,0.02,-0.01,0.01,0.02,-0.0,0.01,-0.0,0.0,1.0,-0.01,-0.02,-0.02,-0.02,-0.0,-0.01,0.02,0.01,0.0,-0.01,-0.0,-0.01,0.03,-0.02,0.02,0.0,0.0,0.01,-0.01,0.01,-0.02,0.01,0.01,0.0,0.01,0.0,0.01,-0.0,-0.02,-0.01,-0.0,0.0,-0.01,0.01,-0.01,-0.0,0.01,0.01,0.0,0.02,0.0,0.01,-0.01,0.02,-0.0,0.01,-0.0,-0.01,0.01,-0.0,-0.01,-0.0,0.0,0.01,-0.0,-0.01,-0.01,-0.0
date,0.0,0.01,-0.0,-0.0,-0.02,0.0,0.02,-0.01,-0.01,1.0,-0.02,-0.0,-0.0,0.0,-0.01,0.01,0.0,-0.0,-0.01,-0.01,0.01,0.01,0.01,0.01,0.01,-0.01,0.01,0.02,0.01,0.0,-0.0,-0.01,0.0,0.03,0.0,0.0,-0.01,0.01,0.0,-0.0,0.0,-0.0,0.01,-0.01,-0.0,-0.0,-0.01,0.0,-0.0,0.01,-0.01,-0.01,0.01,0.0,-0.01,0.0,-0.0,0.01,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.01,-0.01,0.01
