Columna,Nulos,Porcentaje
gender,0,0.0
age,0,0.0
age_o,0,0.0
race,0,0.0
race_o,0,0.0
samerace,0,0.0
imprace,0,0.0
goal,0,0.0
date,0,0.0
go_out,0,0.0
field_cd,0,0.0
career_c,0,0.0
income,0,0.0
mn_sat,0,0.0
tuition,0,0.0
exphappy,0,0.0
expnum,0,0.0
attr1_1,0,0.0
sinc1_1,0,0.0
intel1_1,0,0.0
fun1_1,0,0.0
amb1_1,0,0.0
shar1_1,0,0.0
attr3_1,0,0.0
sinc3_1,0,0.0
intel3_1,0,0.0
fun3_1,0,0.0
amb3_1,0,0.0
attr,0,0.0
sinc,0,0.0
intel,0,0.0
fun,0,0.0
amb,0,0.0
shar,0,0.0
like,0,0.0
prob,0,0.0
met,0,0.0
attr_o,0,0.0
sinc_o,0,0.0
intel_o,0,0.0
fun_o,0,0.0
amb_o,0,0.0
shar_o,0,0.0
like_o,0,0.0
prob_o,0,0.0
dec,0,0.0
dec_o,0,0.0
int_corr,0,0.0
sports,0,0.0
tvsports,0,0.0
exercise,0,0.0
dining,0,0.0
museums,0,0.0
art,0,0.0
hiking,0,0.0
gaming,0,0.0
clubbing,0,0.0
reading,0,0.0
tv,0,0.0
theater,0,0.0
movies,0,0.0
concerts,0,0.0
music,0,0.0
shopping,0,0.0
yoga,0,0.0
match,0,0.0
